,Treinamento,Etiquetas,Classificado
22,@tacocs deus te abençoe taquinho. vai pro valorant maninho,2,Irrelevante
23,@einegan @yxxmiin só tem cracudo jogando valorant,2,Irrelevante
24,rt @neeves19: ouvir inês aziar pelo valorant da-me anos de vida,2,Irrelevante
25,"só quero uns coleguinhas pra subir de elo no valorant, quem vem? https://t.co/vpoqdciv9j",1,Relevante
26,rt @ziggs1212: fitu derrubou o valorant,2,Irrelevante
27,@singularityyart vc tem que aprender a jogar valorant pra jogar cmg piranha,2,Irrelevante
28,alguém tira bind do valorant pelo amor de deus,1,Relevante
29,@valentineminett prefiro jogar valorant com os de fé.,1,Relevante
30,"hoje eu cheguei no bronze no valorant, sinto que um mundo de possibilidades se abriu para mim. então, essa porta se fechou pq eu voltei pro ferro.",1,Relevante
31,rt @rafafranca08: fui jogar uma partida de valorant com a @sofiaespanha e a @issueilish e cairam 2 random no nosso time que ficaram o tempo…,2,Irrelevante
32,jogo valorant pra ser carregada pelo jack,2,Irrelevante
33,a galera caindo no valorant do nada e eu aqui de boa,2,Irrelevante
34,"fortnite is a sad boy rn

valorant it is, devo de começar mais perto das 16h peeps https://t.co/ycttknjljy",2,Irrelevante
35,@impakzs aquele jogo de valorant foi tão não worth it,1,Relevante
36,"acho que gostei mesmo de valorant, é tuco atrás de tuco",1,Relevante
37,pensando na sapatona q conheci no valorant... acho q vou investir,2,Irrelevante
38,@pablovermell vamo valorant? é que nem cs com poder,1,Relevante
39,vou desistir do valorant azar no jogo azar no amor azar no azar,1,Relevante
40,o beatmaker favorito de vcs gasta o dinheiro de todos os beats que ele vendeu esse mês pra comprar faca no valorant,2,Irrelevante
41,"feedback dos jogadores de valorant, pliz? 👀 to pensando em voltar a jogar só de brinks, mas, qnd o jogo lançou vi muita gnt falando q o game tava dando umas zikadas no pc e cmg na mesma época o orácio precisou de atendimento (meu pc) coincidentemente. enfim, ta safe de jogar? 😶",1,Relevante
42,"mano, hoje minha mão pra operator tava maravilhosa

ainda bem que o ano tá acabando pq é um evento anual isso aq, gastei meu especial já

#jett #valorant",1,Relevante
43,skin no valorant ? ou roupa pra eu vestir de vdd ? eis a dúvida cruel,1,Relevante
44,"pensando em qnd eu vo ter um pc pra jogar valorant coma a ahrixandra, nity e nita https://t.co/zd5vsa6kz8",1,Relevante
45,eu torando o pau no valorant com um macho misericordia,2,Irrelevante
46,kkkkkkkkkl realmente #valorant https://t.co/tgohv3pyy8,2,Irrelevante
47,"recebi da twitch
skins novas e bonitas no valorant, podem vir 🙏",1,Relevante
48,"@essetalmatheus @yasjardim @atleticaaecs sim, cara. o que eu vejo da comunidade de valorant me enoja muito, lol tem momentos e momentos, mas não tinha visto um rolê desse no lor, acredito que principalmente por ter time feminino conhecido. isso me deixou muito de cara quente.",1,Relevante
49,rt @dnlmefps: bom vou dormir o que acham de uma live de 24hrs quando eu acordar?? aproveitem e deixem ideia de jogos que eu possa jogar na…,2,Irrelevante
50,algum time focado no valorant. ? então se liga nesse player 🚀🚀 https://t.co/6svoekhwx2,1,Relevante
51,"rt @hastadlol: muito feliz com as lives de valorant, foi a melhor decisão ter deixado lol de lado pelo valorant, amo esse jogo, e todo dia…",1,Relevante
52,@juvazsilva compra skin no valorant kkkkkkkkkkkkk,1,Relevante
53,@brusnaos raul so sabe jogar valorant mt guei,2,Irrelevante
54,bora de live extra cambada!! #valorant @twitchsie &gt;&gt;&gt;&gt; https://t.co/rwbl5vmtuk,2,Irrelevante
55,queria agradecer a ufrn e q joão vitinho por patrocinar minha carreira acadêmica e também minha futura carreira como pro player de valorant. https://t.co/uqvib72x2s,1,Relevante
56,acabei de receber um email da faze pra jogar valorant profissional slk,1,Relevante
57,"rt @otiguitooficial: a c e 😉 #valorant

confira este clipe! otiguito transmitindo valorant!  https://t.co/whsbhkqhf3",2,Irrelevante
58,@pedroguemepleis @safi_soaresz baixar valorant não quer,2,Irrelevante
59,"times ja registrados para a classificatoria do dia 26. 
o prazo de inscrição encerra dia 17, as 23h59 https://t.co/5wn0dqjxvj

1-eximius honoravit
2- team libranus
3- viemos do valorant
4-war snow gaming
5- way 4 victory e-sports
6-new grecian
7-vision e-sports academy
(+)",2,Irrelevante
60,"ficar vendo esses camps de valorant e me da muita vontade de voltar a competir, sei que tenho nível suficiente pra estar em time top br. porém eu lembro de tudo que tem que fazer pra se manter no topo e jogando em alto nível. 12 horas de gameplay por dia. sem descansar, sem nada",1,Relevante
61,"indo dormir triste, pelo preconceito com o valorant",1,Relevante
62,fui expulso do meu time de valorant é isso,1,Relevante
63,"ainda estou on
agora valorant
https://t.co/wvmza9phay",2,Irrelevante
64,trobo que no esteu valorant prou els meus #poetuits https://t.co/mgrtuwhzv8,2,Irrelevante
65,me inscrevi pra jogar valorant e cs pela atarq e eu nem sequer tenho os jogos instalados no meu computador 🥳🤩,1,Relevante
66,@yodaimel @sheviii2k diz isso até logar no valorant😔,1,Relevante
67,vai faltar só um pra fechar o time no valorant..,1,Relevante
68,"@lauane_tedesco vem pro valorant, é bom hehehehhe",1,Relevante
69,"luiz vive falando q eu sou muito boa no valorant, sendo que eu sou um lixo e eu sei vei kkkkkkkkkkk meu deus só me ilude",1,Relevante
70,@natliaantunes18 joga valorant cmg,1,Relevante
71,minha gameplay no valorant ao longo do dia é assim https://t.co/k9f3wiz3qe,2,Irrelevante
72,vim pra lan e tá tendo atualização de 24h do valorant ou eu to louco?,2,Irrelevante
73,pensando aq no valorant q eu vou poder jogar,1,Relevante
74,@cowboyancap ta na hr de mudar esse cs por um valorant hein,1,Relevante
75,"@starkiandog ela vai achar primeiramente que é traição, mas vai ficar aliviada quando ver que voce quer é jogar valorant",1,Relevante
76,mlk desgraçado me ligando as 9hr da manhã pra gente jogar valorant vai tomsr no cu,1,Relevante
77,"@gritacristopher @vhugosk zeramos the vision, e eu como jogadora de valorant sou uma ótima suporte, tá safe",1,Relevante
78,"dica da noite, 

não joguem valorant.",1,Relevante
79,"@zdarkyoshi se vc olhar o canal de clipes da offline tv (offline tv &amp; friends) vc vai ver que, recentemente, só tem vídeo de valorant e among us",2,Irrelevante
80,valorant 10 da manha rushar passe,1,Relevante
81,"rt @tiago42480053: peguei jett pra bagunçar! | #valorant @hastadlol  https://t.co/bvcicvooge 

ultra talentoso",2,Irrelevante
82,@gaberedede pô mano só agradece 🙌🏼🙌🏼 mais além entro discord pra dale um valorant com vocês pode pá?,1,Relevante
83,sdds do q eu já vivi #valorant #valorantgameplay https://t.co/qvkwxl3fve,1,Relevante
84,"quero jogar valorant, mas random pra upar patente n da ;-;",1,Relevante
85,da pra jogar valorant sozinho nao pqp,1,Relevante
86,cara slk n consigo jogar valorant mano to jogando mt mal q isso,1,Relevante
87,se valorant nao roda agora por causa da net e meu ping fica 1100 eu choro a noite inteira,1,Relevante
88,meu nick no valorant https://t.co/ctwdl9hlbx,2,Irrelevante
89,g na valorant na!,2,Irrelevante
90,"@velascomak g g g g, valorant or ml???",2,Irrelevante
91,"eu agora entendo meus amigos lolzeiros e sua relação abusiva com a riot 
valorant pq faz isso",1,Relevante
92,"rt @tgamerinsidebr: novo vídeo de vagas de emprego: https://t.co/jhpjow0ibw

essa semana apresentamos vaga de valorant news writer na @gfin…",2,Irrelevante
93,"estou prata no valorant,este é o tweet.",1,Relevante
94,jogo tanto valorant que de noite fico com o barulho da spike e a granada da raze na cabeça 🥴 https://t.co/88bgxcphhu,1,Relevante
95,vou viciar em valorant é,1,Relevante
96,valorant caiu só p mim?,1,Relevante
97,valorant vai ficar indisponível bem no meu aniversário 👍👍👍👍👍👍👍 blza,1,Relevante
98,3 pessoas do meu time no valorant usam net e ficaram caindo no meio da partida. que porra é essa parcero,1,Relevante
99,oi joguem valorant cmg,1,Relevante
100,triste pq meu note roda valorant morrendo com menos de 20 fps kkkkkk,1,Relevante
101,"eu vou fazer a seguinte barganha cmg, se eu terminar o trabalho até as 14 hrs eu vou poder jogar uma partida de valorant",1,Relevante
102,quando eu começar a jogar camp no valorant ngm vai me segurar,1,Relevante
103,@drxkonz tá on fire no valorant fi,2,Irrelevante
104,"@aykow_ basicamente o meu ""squad do valorant"" n me contou umas parada de extrema importancia pro grupo, basicamente me deixou de fora, e eu fiquei putinhokkkmkkkkk

mds vei eu sou mt idiota slk",2,Irrelevante
105,"coisas inúteis sobre mim
altura — 1,78
idade — 21
tamanho do pé — 41
signo — virgem
tatuagens — 1
piercing — 2
cor fav — amarelo/rosa
série fav — kk n tem
animal fav — cachorro
comida fav ー mds acho q n tenho 
bebida fav — hmm espanhola 
jogo fav — valorant kk https://t.co/ge0ujil4fb",2,Irrelevante
106,sou horrível no valorant vou desinstalar,1,Relevante
107,valorant fans eu fiz um wallpaper pra vcs https://t.co/myvfzqze8p,2,Irrelevante
108,"@momo_plopes ""vamo um valorant chama ai""",1,Relevante
109,foda jogar valorant com time que n fala nada,1,Relevante
110,valorant consegue ser merda num pc de 9k vsf,1,Relevante
111,"eu peguei o áudio através do ""alô, quem fala?"" no catarse (https://t.co/nnjy7nwktq), um projeto que visa amparar dubladores que ficaram sem trabalho por causa da pandemia!

tem vários dubladores do valorant por lá, vale a pena dar uma olhada quem quiser! :)",2,Irrelevante
112,"coisas inúteis sobre mim

altura— 1,73
tamanho do pé— 40/41
signo— escorpiao
tatuagens— 0
piercing— 0
cor fav— preto
série fav— supernatural
animal fav— @duck4tt
comida favー pizza
bebida fav— agua
jogo fav— valorant https://t.co/apw1tqrc8o",2,Irrelevante
113,nem credito que posso jogar valorant sem passar raiva e fazer raiva nos mlks,1,Relevante
114,@henckermc_ @maluujoga sabe le nao corno kkk chat do valorant,1,Relevante
115,@caiosilvw baixa valorant cainho mt melhor,1,Relevante
116,"@rafamineblox roi, td bem? entra valorant agr",2,Irrelevante
117,alguém aq joga valorant?,1,Relevante
118,"o mundo precisa de um jogo 
leve estilo  point blank 
skins do.     cs go 
divulgação  do valorant
gráfico do.   crossfire

jogo pesado não dá certo .",2,Irrelevante
119,"rt @vin1zi: faço live todos os dias na twitch,e hj eu e @ricsilva02 passamos por um ato ridiculo e desrespeitoso jogando valorant, homofóbi…",2,Irrelevante
120,"@kittycatnini @gtzbulls @wortengamering_ @valorant_pt será que é hoje que a linda @kittycatnini acaba o cosplay da kilijoy personagem do valorant, vem daí dizer um olá.🤩🤩😘",2,Irrelevante
121,joguei 4 partidas de valorant so agr de manhã,1,Relevante
122,o valorant só travando meu deus que desgraça,1,Relevante
123,joga valorant pra desconta minha raiva nos bonequinho fds,1,Relevante
124,@ferbs0n esse gato sou eu jogando valorant,2,Irrelevante
125,ultima vez tentando baixar esse valorant,1,Relevante
126,meta pra 2020: não ter um avc jogando valorant,1,Relevante
127,valorant pouco bugado graças a deus,1,Relevante
128,valorant ta viciado em mim,1,Relevante
129,valorant bugando kiso deus,2,Irrelevante
130,@extruque @designdelvaux qual a fonte do valorant,1,Relevante
131,"@felipehime @piscolisco @015watson @milalaranjeira faz stream desse time ai, discutindo ciencia enquanto joga valorant.",2,Irrelevante
132,"comendo amendoim, jogando valorant e ouvindo a playlist brbr da @111jacare",2,Irrelevante
133,acho q vou ver umas live de valorant viu,1,Relevante
134,"bom vou dormir o que acham de uma live de 24hrs quando eu acordar?? aproveitem e deixem ideia de jogos que eu possa jogar na live além do valorant 
@laetusgg  o que acham em? &lt;3 https://t.co/c5pqanzlue",2,Irrelevante
135,me chamaram pra jogar um campeonato semi-profisional de valorant eu to com um pe atras por n ser um jogo que eu goste assim,1,Relevante
136,rt @eujogador: ⚠️ a @teampiratees está à procura de uma equipa de @valorant_pt https://t.co/ytjmj4obtz,2,Irrelevante
137,"@srfalik amigo, estou voltando a jogar valorant",1,Relevante
138,nessa quarentena a unica coisa q aprendi a fazer de novo é ter reflexo das coisas antes eu era uma monga joguei valorant agr to sabendo diferenciar as coisas kkkkkkkkkkk,1,Relevante
139,comprei o passe de batalha do valorant mas eu nem jogo muito 🤡,1,Relevante
140,"@cogumelolety fica tranquila, é só o momento.
eu tava malzão, caí 3 elos em um dia e agora tô destruindo no cs e no valorant.
pra ser bom tem que se foder muito mesmo",1,Relevante
141,"não joguei valorant ontem, milagre?",1,Relevante
142,"@mariae_ds vou ficar jogando isso. 
geralmente fico no dota2 / valorant / champion legion",2,Irrelevante
143,algum desocupado duo valorant casualzinn,1,Relevante
144,rt @limaamnda0: ruan não me acordou 3:50 pra jogar valorant não né? corno,1,Relevante
145,mano eu to a tanto tempo sem jogar valorant que nem lembro mais os comandos do jogo mds,1,Relevante
146,"no art, de ruim, só a gameplay dele no valorant. +",2,Irrelevante
147,"agora foi minha fã zirondix que tbm não me deixa em paz, vive pedindo pra eu carregar no valorant https://t.co/potko4iya6",2,Irrelevante
148,tem uns palavrão que eu só falo quando to jogando ent se vc nunca me viu jogando lol ou valorant vc nunca me ouviu falando eles,1,Relevante
149,gameplay de valorant até as 02horas  💜 https://t.co/zzud8dmkb7,1,Relevante
150,"4kzinho da live de hj
https://t.co/utpbcbyvgl 
.
#valorant #valorantclips https://t.co/snnysszduz",2,Irrelevante
151,"@heyiitskei as comunidades mais tóxicas do valorant são sem duvidas as portuguesa, italiana e egípcia, é muito raro encontrar alguém que não seja puro ódio",2,Irrelevante
152,"@sofiaespanha vai de valorant mo, deixa os reality pra dps, o radiante n espera",2,Irrelevante
153,"rt @shumzete: grandes jogos na scrim, grandes jogadas no valorant e comecei a assistir kimetsu no yaiba, hoje foi um dia muito bom",2,Irrelevante
154,"@jp_rodrigu3s_ @juliaboeiraa__ achei uma contratação inovadora, pra mudar o cenário de valorant e de roblox de uma vez por tdas",1,Relevante
155,alguem quer jogar valorant,1,Relevante
156,será se eu começo a jogar valorant e deixo o lol de lado,1,Relevante
157,"coisas inúteis sobre mim:

altura — 2,00
idade — 17
tamanho do pé — 48/49
signo — gêmeos
tatuagens — queri mas não
piercing —  queria
cor fav — azul e amarelo
série fav — shadowhunters
animal fav — lontra
comida fav — yakissoba
bebida fav — pepsi
jogo fav — valorant/minecraft https://t.co/f5eu7iw0nn",2,Irrelevante
158,2/3 da aula hj foi o professor falando como o valorant estragou o computador dele,1,Relevante
159,@ddcstro @sodre77 slc vo valorant e dormir,2,Irrelevante
160,@anacarolbueno_ vamo valorant pô kkkkkkkkk,2,Irrelevante
161,@furaoplays mudaste para o famoso rato e teclado??? a ver se arranjo um tempo para ver isso! talvez até comece a jogar apex a ver se largo o valorant 😁,2,Irrelevante
162,"rt @jakethemagee: vídeo novo no canal
minha primeira análise de valorant
análise de fpx x g2 no blast valorant twitch invitational
(feedbac…",2,Irrelevante
163,@umpatodoispato achei até q era um print do chat do valorant,2,Irrelevante
164,to dando bala demais nesse valorant,1,Relevante
165,"coisas inúteis sobre mim 
altura — 1,75
idade — 15
tamanho do pé — 40
signo —  libra
tatuagens — 0
piercing — 1
cor fav — preto
série fav — b99
animal fav — cachorro 
comida fav ー pl
bebida fav — coca 
jogo fav- valorant/cod https://t.co/dgtrjp9k4n",2,Irrelevante
166,"@leannlimaa kkkkkkkkkk pha de quarentena e valorant, to ficando surtado ja",2,Irrelevante
167,queria se boa jo valorant,2,Irrelevante
168,"parabéns velho você é o cara mais foda que existe você é bom em tudo, valorant design e arte digital o vic é o mais brabo https://t.co/7wu1xujjwk",1,Relevante
169,"@starkiandog joga uma bomba de fumaça, ai aparece escrito ""quer jogar valorant cmg?""",1,Relevante
170,"🏆 @b4ofc1 e @teamvikings lideram primeiros classificados para seletiva final do @gamersclubval ultimate

ainda tem mais 16 vagas em jogo! veja a lista 👇

 https://t.co/dnshraheta #valorantzonegg #valorant https://t.co/unp19who1h",2,Irrelevante
171,falta menos de um mês pro novo passe de batalha do valorant e eu ainda tô no tier 7 mds,1,Relevante
172,"valorant parece que me odeia
pq n importa quantas partidas eu sou mvp ele me desce",1,Relevante
173,pensando ontem o valorant querendo calar eu nity e a nita q ódio,1,Relevante
174,e eu q coloquei minha irma p rushar meu passe do valorant pq sou incapaz de ficar mt tempo jogando sem tiltar,1,Relevante
175,"@borbx kkkkkk, entendo bem. valorant parei de jogar tem um tempo e não tô afim de gastar 30 pila em fall guys",2,Irrelevante
176,alguém poderia comprar skin para mim no jogo valorant e eu digo se esperava ou não?? #valorant,2,Irrelevante
177,@juliaboeiraa__  nova contratação da line up de valorant 😤,2,Irrelevante
178,cara como tá prazeroso jogar valorant com a minha muie,1,Relevante
179,"tava no valorant na seleção de agente, equipe nem tava formada e o cara ja foi racista no audio, nem escolhi agente pra sair daquele time... foda... foda...",2,Irrelevante
180,"@bruce_ja_tinha @jehapedro @tinydarkk fuck you😡😡😡, bó jogar valorant amanhã",2,Irrelevante
181,mais um dia eu escutando o suzuki e o geh tretando por causa de valorant kakakakakkskakakakaka,2,Irrelevante
182,reunião da ação de hoje e eu aq vendo vídeo de valorant enquanto o pau come na call 😎,2,Irrelevante
183,"moza sua maravilhosa, como eu faço para jogar um valorant com vc? — só chama na dm a gente marca esse game  https://t.co/6muzaisu9u",2,Irrelevante
184,rt @o_ferruge: eu to horrivel no valorant,1,Relevante
185,"acabou porra!!! tão cedo quero saber de lol 

mas já adianto logo.... alguém aí joga fifa? valorant?

como sempre.... novidades em breve kkkkkkkkkkkkkk https://t.co/lj6m1gooeg",2,Irrelevante
186,@pedrospagnoloo @teampiratees @not_joana @valorant_pt @rixx1515 deve tar ganda pro no jogo o gajo 😂,2,Irrelevante
187,"hey! sou o julio cesar, streamer br de valorant, gta, e cod.  as vezes jogo jogos variados. então se você curte trocar uma ideia e ver um gameplay um tanto quanto divertido, é só vir que estou esperando por você. me ajudem a compartilhar meu conteúdo com jogadores assim como eu.",2,Irrelevante
188,"é guys, infelizmente é o fim da line da sws de valorant, sendo assim, estou free agent.. 🙌🏻",2,Irrelevante
189,"rt @valorantzonegg: 🏆 @b4ofc1 e @teamvikings lideram primeiros classificados para seletiva final do @gamersclubval ultimate

ainda tem mais…",2,Irrelevante
190,"a c e 😉 #valorant

confira este clipe! otiguito transmitindo valorant!  https://t.co/whsbhkqhf3",2,Irrelevante
191,sério eu só queria jogar um valorant com a @sofiaespanha 😔👉👈,1,Relevante
192,"mds do céu, indo dormir 01:20 da manhã por causa de valorant kkkkk

minha mãe só faltou me bater com meus gritos rsrsrsrrr",1,Relevante
193,"rt @teampiratees: team pirates esports investe no @valorant_pt 🔵⚪️

hoje anunciamos a nossa aposta na modalidade de valorant, onde procuram…",2,Irrelevante
194,"altura— 1,76
idade— 18
tamanho do pé— 44
signo— aquário
tatuagens— 0 
piercing— 0
cor fav— cinza/branco
anime fav— lost canvas
animal fav—  
@hozuslol 
 
comida favー lasanha
bebida fav— coca
jogo fav— valorant https://t.co/u3bninp8gu",2,Irrelevante
195,abri o valorant hj e estava com 2h de na por não ter escolhido agente ????????,2,Irrelevante
196,@jajaramae tara valorant char,2,Irrelevante
197,"@davizinhn valorant não tem mod logo minecraft é melhor 😎😎

refutado 😎😎😎",2,Irrelevante
198,ouvir inês aziar pelo valorant da-me anos de vida,2,Irrelevante
199,@k1zpawn @fmsyouknow valorant demasiado facil...,2,Irrelevante
200,"fds, fuma um e joga um valorant",2,Irrelevante
201,"rt @viniciusl14: times ja registrados para a classificatoria do dia 26. 
o prazo de inscrição encerra dia 17, as 23h59 https://t.co/5wn0dqj…",2,Irrelevante
202,eu não levo jeito para joguinhos. fui jogar valorant e só passei vergonha,1,Relevante
203,"@valorantbrasil so quero saber como ta funcionando ticket no valorant, peguei duas vezes o mesmo grupo de pessoas usando drop na madrugada",1,Relevante
204,"@jaimepadua chama noixxx @stbxesports
tamo começando o projetim com time feminino de lol, sem contar os players/times q tão jogando o fino em outros games (valorant, r6, lol, hearthstone e por aí vai)

da uma chance pra conhecer nosso trabalho 🤍💚",2,Irrelevante
205,pior que eu gostei de valorant,1,Relevante
206,to triste queria uns valorant points pra ficar feliz,1,Relevante
207,tem valorant pra ps4?,1,Relevante
208,"ouvindo cypher 4m, jogando valorant e em call, meu dia melhorou 90%",2,Irrelevante
209,queria jogar valorant com a lia vo chora ! 😭,1,Relevante
210,@eslcs eu acho engraçado dps q a chaos começou a jogar em camps grandes parou de xitar só q esse time uma hora vai pro valorant pq eles são ruins pra krl,2,Irrelevante
211,vivendo ou tentando falar preciso de cu (-ra) aqui no valorant?,2,Irrelevante
212,"rt @pingumk8: @moonkase valorant nada, jogar com os inscritos sem ser de madrugada",2,Irrelevante
213,e eu que loguei no valorant e abriu o cliente do lol,1,Relevante
214,"coisas inúteis sobre mim
altura — 1,74
idade — 23
tamanho do pé — 42
signo — gêmeos
tatuagens — 0
piercing — 0
cor fav — branco
série fav — drive to survive
animal fav — raposa
comida fav ー lasanha
bebida fav — suco de acerola com laranja
jogo fav — valorant por enquanto https://t.co/bkroqt0dqz",2,Irrelevante
215,queria valorant mas essa buceta dá a doida no meu pc por motivos de não sei já que a porra do pc tem as configurações necessárias,1,Relevante
216,"pelo amor de deus cadê as marcas as empresas as multinacionais que anunciavam no youtube?????? 

eu nao aguento mais anúncio de league of legends. 

eu nao quero perder a sanidade em jogo ruim! já basta o que passo em valorant e fifa! https://t.co/lrl74lnbxd",2,Irrelevante
217,"pra quem quiser ver a tabela:
https://t.co/6f7tglzefr",2,Irrelevante
218,"rt @valorant_pt: os fãs de valorant têm andado ocupados dentro e fora do jogo! vê só algumas das criações em 3d.

“faca” prime @minanadesti…",2,Irrelevante
219,@hg__mercury no more 1-5 am valorant https://t.co/y7qmghgwpp,2,Irrelevante
220,"valorant | vai, faz a fila 😳 https://t.co/zl7eura71u",2,Irrelevante
221,"@henrisoncruz adiciona pinscher parker lá no lol, mas ando jogando só valorant",2,Irrelevante
222,@marcopneto podia ir para um valorant hein,1,Relevante
223,"@cerealradical mas tô no valorant, shiu",2,Irrelevante
224,rt @fntt_: o cara joga mt qm tiver interesse e tiver procurando uma line de valorant considere bastante chamar ele,1,Relevante
225,"altura — 1,75
idade — 13
tamanho do pé — 42
signo — dinossauro
tatuagens — ainda nao
piercing —  sobrancelha
cor fav — preto
série fav — atypical
animal fav  _ lobo ou hiena
comida fav — pure
bebida fav — agua
jogo fav — valorant https://t.co/tk7akpyavv",2,Irrelevante
226,acordei mais cedo pra jogar uma partida de valorant fodas tb,1,Relevante
227,"oi, você poderia depositar dinheiro na minha conta pra eu poder comprar novas armas no valorant?",2,Irrelevante
228,"@xiaoxien odeio jogar valorant por isso, meu",1,Relevante
229,"rt @sssimpsonyan: oi pessoal, agora é a stream oficial de valorant com meu best.

o intuito é fazer 3 horas de live, mas vamos ver o quanto…",2,Irrelevante
230,fitu derrubou o valorant,2,Irrelevante
231,instalando valorant nesse caco aqui kkk,1,Relevante
232,queria alguém pra jogar valorant e lol mkkkkk,1,Relevante
233,@viniciusamatos1 eu troquei pelo valorant q me tilta menos porém já sou estressada por vida,1,Relevante
234,"rt @ravagingsavage: cheetor!?
#valorant #gamer #twitch #streamer https://t.co/c8a0g2gm9t",2,Irrelevante
235,vontade de jogar valorant,1,Relevante
236,"kk reyna jovem 
#valorant #valorantfanart #valorantbrasil https://t.co/zyrcuhvxmk",2,Irrelevante
237,"@hastadlol claro no lol tu é horrivel, diamante, no valorant vc joga bem, radiante. faz sentido cara... asdlklksadlkdsa. ninguem gosta de perder e nao é pq vc tem fama q ganha respeito d geral",2,Irrelevante
238,só tem mongolóide no competitivo do valorant pqp,1,Relevante
239,"rt @granks_br: saiu o episodio 1 do gold ao radiante do valorant, nmrl n custa deixar o like e se gostarem até se inscrever, bjs pra vcs

h…",1,Relevante
240,"@lszin_ @rafafranca08 @caduziiiin @sofiaespanha @issueilish exato mano, ontem joguei cs com um e um cara pior q eu me xingando e tals ai kitei mas mesmo assim, dps de tipo anos cai poucas vezes com pessoas toxicas em mm da pra conta nos dedos, ai fui joga valorant na segunda partida tinha nego chamando outro de macaco no sentindo dehumilh",2,Irrelevante
241,"caralho mano rodou valorant no computador da minha vó, eu to muito feliz aaaaaa",1,Relevante
242,@custons2 menos no valorant pois sou o melhor,1,Relevante
243,"muleque me chamou de hack no valorant e perguntou o que eu usava 
eu simplesmente falei huzuni e ele realmente achou que eu usava kkkkkkkkkkkkk e falou que ia baixar",2,Irrelevante
244,"rt @maffittaa: estou em direto na twitch. vê em https://t.co/xtfnqjhbpg valorant ranked com o melhor coach!!

@growupesports
@coachcruzz",2,Irrelevante
245,eu odeio valorant,1,Relevante
246,"@fricardo007 pô, não curti ele não. jogabilidade zoada pra mim que era acostumado com o fortnite. voltei pro fort e vou começar valorant. warzone out",2,Irrelevante
247,"meu deus eu joguei a partida de valorant mais aleatória da minha vida kkkkkk tinha eu, um tiozao de 40 anos, uma garotinha de 11 e 2 mulheres mto ruins kkkkkk eu nunca ri tanto",1,Relevante
248,"mlq toda vez que vou trabalhar com hildemar e tenho que dormir lá, jogo valorant no pc do gerran e fico com a impressão de que se eu pudesse jogar todo dia eu conseguiria melhorar mt rápido nesse jogo. alguem me arruma um pc pra joga valorant pelo amo de deus",2,Irrelevante
249,"falando em mundiais, tem algum time brasileiro de valorant se destacando em algum camp internacional?",2,Irrelevante
250,vo fazer um teste pra ve como fica stream de valorant fodase,1,Relevante
251,"vlww pela live gang, bagulho tá crescendo e tá cada dia mais divertido o nosso rolê, mixzada com o chat tá o hype kk
parabainss pra quem ganhou no sorteio: @crossdimitri1 levou a peita da furia e a @gabscornio_ ganhou 2175 valorant points ✨ https://t.co/tmbcuonysd",2,Irrelevante
252,valorant e o balaaaa,1,Relevante
253,assim q segura um bomb de killjoy hahah #valorant @guilherme_gohan #valorantzonegg #valorantgameplay https://t.co/bhxpx9lznd,2,Irrelevante
254,@malupki pode deixar!!! os jogos é que ao menos vejo que cês ficam mais pelo lol ou valorant (e valorant por algum motivo depois que saiu do beta meu notebook parou de aguentar o jogo),2,Irrelevante
